County,PopulationArea,Year,Population
King County,Cities,2000,1387812.0
King County,Cities,2001,1404829.0
King County,Cities,2002,1427263.0
King County,Cities,2003,1436622.0
King County,Cities,2004,1443623.0
King County,Cities,2005,1455474.0
King County,Cities,2006,1481836.0
King County,Cities,2007,1508783.0
King County,Cities,2008,1559103.0
King County,Cities,2009,1580145.0
King County,Cities,2010,1606249.0
King County,Cities,2011,1657335.0
King County,Cities,2012,1701280.0
King County,Cities,2013,1728800.0
King County,Cities,2014,1739734.0
King County,Cities,2015,1799520.0
King County,Cities,2016,1859180.0
King County,Cities,2017,1906640.0
King County,Cities,2018,1942960.0
King County,Cities,2019,1950189.0
King County,Cities,2020,1957444.0
King County,Cities,2021,1984422.0
King County,Cities,2022,2011772.0
King County,Cities,2023,2039499.0
King County,Cities,2024,2067608.0
King County,Cities,2025,2096102.0
King County,Cities,2026,2122355.0
King County,Cities,2027,2148937.0
King County,Cities,2028,2175852.0
King County,Cities,2029,2203104.0
King County,Cities,2030,2230693.0
King County,Cities,2031,2254414.0
King County,Cities,2032,2278388.0
King County,Cities,2033,2302617.0
King County,Cities,2034,2327103.0
King County,Cities,2035,2351847.0
King County,Cities,2036,2374749.0
King County,Cities,2037,2397874.0
King County,Cities,2038,2421224.0
King County,Cities,2039,2444801.0
King County,Cities,2040,2468605.0
King County,Cities,2041,2491722.0
King County,Cities,2042,2515056.0
King County,Cities,2043,2538608.0
King County,Cities,2044,2562381.0
King County,Cities,2045,2586373.0
King County,Cities,2046,2609214.0
King County,Cities,2047,2632257.0
King County,Cities,2048,2655503.0
King County,Cities,2049,2678954.0
King County,Cities,2050,2702610.0
King County,Unincorp.,2000,349234.0
King County,Unincorp.,2001,350658.0
King County,Unincorp.,2002,350251.0
King County,Unincorp.,2003,351460.0
King County,Unincorp.,2004,357160.0
King County,Unincorp.,2005,359525.0
King County,Unincorp.,2006,363373.0
King County,Unincorp.,2007,362315.0
King County,Unincorp.,2008,332022.0
King County,Unincorp.,2009,329060.0
King County,Unincorp.,2010,325000.0
King County,Unincorp.,2011,285265.0
King County,Unincorp.,2012,255720.0
King County,Unincorp.,2013,253100.0
King County,Unincorp.,2014,228601.0
King County,Unincorp.,2015,253280.0
King County,Unincorp.,2016,245920.0
King County,Unincorp.,2017,247060.0
King County,Unincorp.,2018,247240.0
King County,Unincorp.,2019,249133.0
King County,Unincorp.,2020,251039.0
King County,Unincorp.,2021,252286.0
King County,Unincorp.,2022,253539.0
King County,Unincorp.,2023,254798.0
King County,Unincorp.,2024,256064.0
King County,Unincorp.,2025,257333.0
King County,Unincorp.,2026,258544.0
King County,Unincorp.,2027,259760.0
King County,Unincorp.,2028,260982.0
King County,Unincorp.,2029,262210.0
King County,Unincorp.,2030,263441.0
King County,Unincorp.,2031,264540.0
King County,Unincorp.,2032,265644.0
King County,Unincorp.,2033,266752.0
King County,Unincorp.,2034,267865.0
King County,Unincorp.,2035,268980.0
King County,Unincorp.,2036,270039.0
King County,Unincorp.,2037,271102.0
King County,Unincorp.,2038,272170.0
King County,Unincorp.,2039,273242.0
King County,Unincorp.,2040,274316.0
King County,Unincorp.,2041,275369.0
King County,Unincorp.,2042,276426.0
King County,Unincorp.,2043,277487.0
King County,Unincorp.,2044,278552.0
King County,Unincorp.,2045,279618.0
King County,Unincorp.,2046,280663.0
King County,Unincorp.,2047,281712.0
King County,Unincorp.,2048,282765.0
King County,Unincorp.,2049,283822.0
King County,Unincorp.,2050,284882.0
King County,Total,2000,1737046.0
King County,Total,2001,1755487.0
King County,Total,2002,1777514.0
King County,Total,2003,1788082.0
King County,Total,2004,1800783.0
King County,Total,2005,1814999.0
King County,Total,2006,1845209.0
King County,Total,2007,1871098.0
King County,Total,2008,1891125.0
King County,Total,2009,1909205.0
King County,Total,2010,1931249.0
King County,Total,2011,1942600.0
King County,Total,2012,1957000.0
King County,Total,2013,1981900.0
King County,Total,2014,1968335.0
King County,Total,2015,2052800.0
King County,Total,2016,2105100.0
King County,Total,2017,2153700.0
King County,Total,2018,2190200.0
King County,Total,2019,2199323.0
King County,Total,2020,2208483.0
King County,Total,2021,2236741.0
King County,Total,2022,2265361.0
King County,Total,2023,2294347.0
King County,Total,2024,2323704.0
King County,Total,2025,2353435.0
King County,Total,2026,2380926.0
King County,Total,2027,2408738.0
King County,Total,2028,2436875.0
King County,Total,2029,2465340.0
King County,Total,2030,2494134.0
King County,Total,2031,2518973.0
King County,Total,2032,2544060.0
King County,Total,2033,2569397.0
King County,Total,2034,2594986.0
King County,Total,2035,2620827.0
King County,Total,2036,2644804.0
King County,Total,2037,2669000.0
King County,Total,2038,2693417.0
King County,Total,2039,2718058.0
King County,Total,2040,2742921.0
King County,Total,2041,2767105.0
King County,Total,2042,2791503.0
King County,Total,2043,2816116.0
King County,Total,2044,2840946.0
King County,Total,2045,2865991.0
King County,Total,2046,2889890.0
King County,Total,2047,2913988.0
King County,Total,2048,2938287.0
King County,Total,2049,2962789.0
King County,Total,2050,2987492.0
King County,PTBA,2000,1737046.0
King County,PTBA,2001,1755487.0
King County,PTBA,2002,1777514.0
King County,PTBA,2003,1788082.0
King County,PTBA,2004,1800783.0
King County,PTBA,2005,1814999.0
King County,PTBA,2006,1845209.0
King County,PTBA,2007,1871098.0
King County,PTBA,2008,1891125.0
King County,PTBA,2009,1909205.0
King County,PTBA,2010,1931249.0
King County,PTBA,2011,1942600.0
King County,PTBA,2012,1957000.0
King County,PTBA,2013,1981900.0
King County,PTBA,2014,1967639.0
King County,PTBA,2015,2052800.0
King County,PTBA,2016,2105100.0
King County,PTBA,2017,2153700.0
King County,PTBA,2018,2190200.0
King County,PTBA,2019,2198914.0
King County,PTBA,2020,2207662.0
King County,PTBA,2021,2235910.0
King County,PTBA,2022,2264520.0
King County,PTBA,2023,2293496.0
King County,PTBA,2024,2322843.0
King County,PTBA,2025,2352562.0
King County,PTBA,2026,2380035.0
King County,PTBA,2027,2407828.0
King County,PTBA,2028,2435946.0
King County,PTBA,2029,2464392.0
King County,PTBA,2030,2493168.0
King County,PTBA,2031,2518005.0
King County,PTBA,2032,2543090.0
King County,PTBA,2033,2568425.0
King County,PTBA,2034,2594012.0
King County,PTBA,2035,2619851.0
King County,PTBA,2036,2643822.0
King County,PTBA,2037,2668013.0
King County,PTBA,2038,2692425.0
